Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss,GHG,Grid
2026-07-17 08:10:00+00:00,2026-07-17 08:10:00+00:00,2026-07-17 08:15:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.72,30.26,0.15,0.31,,ISONE
2026-07-17 08:10:00+00:00,2026-07-17 08:10:00+00:00,2026-07-17 08:15:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.5,24.42,0.0,0.08,,MISO
2026-07-17 08:10:00+00:00,2026-07-17 08:10:00+00:00,2026-07-17 08:15:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.17,24.42,0.0,-1.25,,MISO
2026-07-17 08:15:00+00:00,2026-07-17 08:15:00+00:00,2026-07-17 08:20:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,38.66338,29.98293,-0.23732,-2.45223,11.37,CAISO
2026-07-17 08:15:00+00:00,2026-07-17 08:15:00+00:00,2026-07-17 08:20:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,29.69,29.24,0.15,0.3,,ISONE
2026-07-17 08:15:00+00:00,2026-07-17 08:15:00+00:00,2026-07-17 08:20:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.5,24.41,0.0,0.09,,MISO
2026-07-17 08:15:00+00:00,2026-07-17 08:15:00+00:00,2026-07-17 08:20:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.19,24.41,0.02,-1.24,,MISO
2026-07-17 08:20:00+00:00,2026-07-17 08:20:00+00:00,2026-07-17 08:25:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,36.79013,26.82634,-0.23238,-2.33383,12.53,CAISO
2026-07-17 08:20:00+00:00,2026-07-17 08:20:00+00:00,2026-07-17 08:25:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,31.01,30.59,0.11,0.31,,ISONE
2026-07-17 08:20:00+00:00,2026-07-17 08:20:00+00:00,2026-07-17 08:25:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.54,24.4,0.0,0.14,,MISO
2026-07-17 08:20:00+00:00,2026-07-17 08:20:00+00:00,2026-07-17 08:25:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.16,24.4,0.0,-1.24,,MISO
2026-07-17 08:25:00+00:00,2026-07-17 08:25:00+00:00,2026-07-17 08:30:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,37.29285,27.48216,-0.2337,-2.3656,12.41,CAISO
2026-07-17 08:25:00+00:00,2026-07-17 08:25:00+00:00,2026-07-17 08:30:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.57,30.15,0.11,0.31,,ISONE
2026-07-17 08:25:00+00:00,2026-07-17 08:25:00+00:00,2026-07-17 08:30:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.52,24.39,0.0,0.13,,MISO
2026-07-17 08:25:00+00:00,2026-07-17 08:25:00+00:00,2026-07-17 08:30:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.17,24.39,0.02,-1.24,,MISO
2026-07-17 08:30:00+00:00,2026-07-17 08:30:00+00:00,2026-07-17 08:35:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,37.01262,27.33141,-0.23303,-2.49576,12.41,CAISO
2026-07-17 08:30:00+00:00,2026-07-17 08:30:00+00:00,2026-07-17 08:35:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.57,30.15,0.11,0.31,,ISONE
2026-07-17 08:30:00+00:00,2026-07-17 08:30:00+00:00,2026-07-17 08:35:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.47,24.33,0.0,0.14,,MISO
2026-07-17 08:30:00+00:00,2026-07-17 08:30:00+00:00,2026-07-17 08:35:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.12,24.33,0.08,-1.29,,MISO
2026-07-17 08:35:00+00:00,2026-07-17 08:35:00+00:00,2026-07-17 08:40:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,37.02601,27.85574,-0.23307,-2.49666,11.9,CAISO
2026-07-17 08:35:00+00:00,2026-07-17 08:35:00+00:00,2026-07-17 08:40:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.57,30.15,0.11,0.31,,ISONE
2026-07-17 08:35:00+00:00,2026-07-17 08:35:00+00:00,2026-07-17 08:40:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.26,24.15,0.0,0.11,,MISO
2026-07-17 08:35:00+00:00,2026-07-17 08:35:00+00:00,2026-07-17 08:40:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,22.91,24.15,0.0,-1.24,,MISO
2026-07-17 08:40:00+00:00,2026-07-17 08:40:00+00:00,2026-07-17 08:45:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,36.9016,27.33055,-0.23274,-2.4883,12.29209,CAISO
2026-07-17 08:40:00+00:00,2026-07-17 08:40:00+00:00,2026-07-17 08:45:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.78,30.35,0.1,0.33,,ISONE
2026-07-17 08:40:00+00:00,2026-07-17 08:40:00+00:00,2026-07-17 08:45:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,23.88,23.77,0.0,0.11,,MISO
2026-07-17 08:40:00+00:00,2026-07-17 08:40:00+00:00,2026-07-17 08:45:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,22.56,23.77,0.0,-1.21,,MISO
2026-07-17 08:45:00+00:00,2026-07-17 08:45:00+00:00,2026-07-17 08:50:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,37.49554,27.96006,-0.23432,-2.6402,12.41,CAISO
2026-07-17 08:45:00+00:00,2026-07-17 08:45:00+00:00,2026-07-17 08:50:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.82,30.38,0.1,0.34,,ISONE
2026-07-17 08:45:00+00:00,2026-07-17 08:45:00+00:00,2026-07-17 08:50:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.21,24.12,0.0,0.09,,MISO
2026-07-17 08:45:00+00:00,2026-07-17 08:45:00+00:00,2026-07-17 08:50:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,22.87,24.12,0.0,-1.25,,MISO
2026-07-17 08:50:00+00:00,2026-07-17 08:50:00+00:00,2026-07-17 08:55:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,37.83569,28.32498,-0.23522,-2.66407,12.41,CAISO
2026-07-17 08:50:00+00:00,2026-07-17 08:50:00+00:00,2026-07-17 08:55:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,30.8,30.37,0.1,0.33,,ISONE
2026-07-17 08:50:00+00:00,2026-07-17 08:50:00+00:00,2026-07-17 08:55:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.27,24.16,0.0,0.11,,MISO
2026-07-17 08:50:00+00:00,2026-07-17 08:50:00+00:00,2026-07-17 08:55:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,22.91,24.16,0.0,-1.25,,MISO
2026-07-17 08:55:00+00:00,2026-07-17 08:55:00+00:00,2026-07-17 09:00:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,37.79882,28.28542,-0.23512,-2.66148,12.41,CAISO
2026-07-17 08:55:00+00:00,2026-07-17 08:55:00+00:00,2026-07-17 09:00:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,31.36,30.92,0.1,0.34,,ISONE
2026-07-17 08:55:00+00:00,2026-07-17 08:55:00+00:00,2026-07-17 09:00:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.35,24.25,0.0,0.1,,MISO
2026-07-17 08:55:00+00:00,2026-07-17 08:55:00+00:00,2026-07-17 09:00:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,22.93,24.25,0.0,-1.32,,MISO
2026-07-17 09:00:00+00:00,2026-07-17 09:00:00+00:00,2026-07-17 09:05:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,39.05043,29.29717,0.0,-2.65675,12.41,CAISO
